study_id,control_round_1,intervention_round_1,d_round_1,control_round_2,intervention_round_2,d_round_2,control_round_3,intervention_round_3,d_round_3,control_round_4,intervention_round_4,d_round_4,control_round_5,intervention_round_5,d_round_5,control_round_6,intervention_round_6,d_round_6,control_round_7,intervention_round_7,d_round_7,control_round_8,intervention_round_8,d_round_8,control_round_9,intervention_round_9,d_round_9,control_round_10,intervention_round_10,d_round_10,control_round_11,intervention_round_11,d_round_11,control_round_12,intervention_round_12,d_round_12,control_round_13,intervention_round_13,d_round_13,control_round_14,intervention_round_14,d_round_14,control_round_15,intervention_round_15,d_round_15,control_round_16,intervention_round_16,d_round_16,control_round_17,intervention_round_17,d_round_17,control_round_18,intervention_round_18,d_round_18,control_round_19,intervention_round_19,d_round_19,control_round_20,intervention_round_20,d_round_20,control_round_21,intervention_round_21,d_round_21,control_round_22,intervention_round_22,d_round_22,control_round_23,intervention_round_23,d_round_23,control_round_24,intervention_round_24,d_round_24,control_round_25,intervention_round_25,d_round_25,control_round_26,intervention_round_26,d_round_26,control_round_27,intervention_round_27,d_round_27,control_round_28,intervention_round_28,d_round_28,control_round_29,intervention_round_29,d_round_29,control_round_30,intervention_round_30,d_round_30
Demarque_1,2.04,2.9,0.9053911265638842,1.94,2.24,0.360306022418433,1.92,2.1,0.20152907424660177,1.94,2.06,0.14035131799278408,1.9,2.08,0.2041573683014329,1.88,2.08,0.23179316248638288,1.9,2.08,0.2097379911643475,1.9,2.08,0.2097379911643475,1.88,2.08,0.23179316248638288,1.88,2.08,0.23179316248638288,1.88,2.08,0.23179316248638288,1.88,2.08,0.23179316248638288,1.88,2.08,0.23179316248638288,1.88,2.08,0.23179316248638288,1.88,2.08,0.23179316248638288,1.88,2.08,0.23179316248638288,1.86,2.08,0.25031552084035835,1.88,2.08,0.23179316248638288,1.88,2.08,0.23179316248638288,1.88,2.08,0.23179316248638288,1.88,2.06,0.20700290439786073,1.88,2.08,0.23179316248638288,1.88,2.08,0.23179316248638288,1.88,2.08,0.23179316248638288,1.88,2.08,0.23179316248638288,1.88,2.08,0.23179316248638288,1.88,2.08,0.23179316248638288,1.88,2.08,0.23179316248638288,1.88,2.08,0.23179316248638288,1.86,2.08,0.2536891975532735
Demarque_2,2.16,2.34,0.2161836134510591,1.7,1.94,0.26676750488795525,1.64,1.94,0.33133581222534964,1.64,1.94,0.3355386160783211,1.58,1.92,0.391640235668428,1.62,1.94,0.35731540724470984,1.6,1.94,0.3743971480251868,1.62,1.94,0.35731540724470984,1.6,1.94,0.3791174194916257,1.6,1.94,0.3743971480251868,1.6,1.94,0.3743971480251868,1.6,1.94,0.3743971480251868,1.6,1.94,0.3743971480251868,1.6,1.94,0.3743971480251868,1.6,1.94,0.3743971480251868,1.6,1.94,0.3743971480251868,1.6,1.94,0.3743971480251868,1.6,1.94,0.3743971480251868,1.6,1.94,0.3743971480251868,1.6,1.94,0.3743971480251868,1.58,1.94,0.39597979746446643,1.58,1.94,0.39597979746446643,1.6,1.94,0.3743971480251868,1.6,1.94,0.3743971480251868,1.6,1.94,0.3743971480251868,1.6,1.94,0.3743971480251868,1.6,1.94,0.3743971480251868,1.6,1.94,0.3743971480251868,1.6,1.94,0.3743971480251868,1.6,1.94,0.3743971480251868
Demarque_3,1.88,2.24,0.3521807064562172,1.74,1.84,0.11330183928530735,1.7,1.76,0.06922554470078089,1.68,1.72,0.04573600642693613,1.66,1.68,0.022403584860389455,1.68,1.7,0.022804206600625286,1.66,1.7,0.04611905139734079,1.66,1.7,0.04491657504006628,1.68,1.68,0.0,1.68,1.7,0.022804206600625286,1.66,1.7,0.04491657504006628,1.68,1.7,0.022804206600625286,1.66,1.7,0.04491657504006628,1.68,1.7,0.022804206600625286,1.66,1.7,0.04491657504006628,1.66,1.7,0.04491657504006628,1.66,1.68,0.02212212161319895,1.66,1.7,0.04380350374996703,1.66,1.7,0.04491657504006628,1.68,1.7,0.02222222222222224,1.68,1.7,0.02222222222222224,1.68,1.7,0.02222222222222224,1.68,1.7,0.02222222222222224,1.66,1.7,0.04491657504006628,1.66,1.68,0.021589621851722123,1.68,1.7,0.02222222222222224,1.66,1.7,0.04380350374996703,1.66,1.68,0.021589621851722123,1.66,1.68,0.021589621851722123,1.66,1.66,0.0
Demarque_4,3.48,0.64,-2.119215120574768,3.4,2.04,-0.8620416322105053,3.24,1.96,-0.8336416788725616,3.36,2.06,-0.8266921969185297,3.28,2.12,-0.7214429634274645,3.24,2.02,-0.7762032803490451,3.32,1.98,-0.8494690329782538,3.32,2.0,-0.8419505748606249,3.3,2.0,-0.8067008170638439,3.3,2.04,-0.7978389106956457,3.28,2.02,-0.7903720813524793,3.3,2.0,-0.8298485697093467,3.26,1.98,-0.7972716738552222,3.3,2.0,-0.8298485697093467,3.3,2.0,-0.8298485697093467,3.3,1.98,-0.8409039363569141,3.3,1.98,-0.8409039363569141,3.3,2.0,-0.8298485697093467,3.24,1.98,-0.8016525682293417,3.26,1.98,-0.8102047428062487,3.28,2.0,-0.8110673335797287,3.26,1.98,-0.8102047428062487,3.26,1.98,-0.8036601708140424,3.24,1.96,-0.8061936408385382,3.28,1.98,-0.8154632585382723,3.26,1.98,-0.8102047428062487,3.24,1.98,-0.8016525682293416,3.26,1.98,-0.8069125522577266,3.26,1.98,-0.8102047428062487,3.26,1.98,-0.8102047428062487
Demarque_5,1.94,2.64,0.6987888647993921,2.14,2.06,-0.09545146403914793,2.1,1.96,-0.16755197006222708,2.02,1.9,-0.14251624759660064,2.06,1.94,-0.13658988010236192,2.0,1.88,-0.1369160869941499,2.02,1.92,-0.12311052623669234,2.02,1.92,-0.11947062572331123,1.98,1.92,-0.06874170431892697,2.02,1.92,-0.11613559280092217,2.0,1.92,-0.09354143466934861,2.02,1.92,-0.11613559280092217,2.0,1.92,-0.09354143466934861,2.0,1.92,-0.09354143466934861,2.0,1.92,-0.09354143466934861,2.0,1.92,-0.09354143466934861,2.0,1.92,-0.09354143466934861,2.0,1.92,-0.09354143466934861,1.98,1.92,-0.06874170431892697,2.0,1.92,-0.09354143466934861,2.0,1.92,-0.09354143466934861,1.98,1.92,-0.06968135568055331,2.0,1.92,-0.09354143466934861,2.0,1.92,-0.09354143466934861,2.0,1.92,-0.09354143466934861,2.02,1.92,-0.11613559280092217,2.0,1.92,-0.09354143466934861,2.0,1.92,-0.09354143466934861,2.02,1.92,-0.11613559280092217,2.0,1.92,-0.09354143466934861
Demarque_6,1.92,2.26,0.3219451403205664,1.86,1.9,0.0425710903622143,1.78,1.88,0.0980869435650756,1.72,1.84,0.12331624609808788,1.72,1.84,0.12331624609808788,1.74,1.86,0.1178316490619612,1.76,1.84,0.08089647953197836,1.76,1.84,0.08089647953197836,1.7,1.84,0.1451095647867135,1.72,1.84,0.12331624609808788,1.7,1.84,0.1451095647867135,1.72,1.84,0.12331624609808788,1.72,1.84,0.12331624609808788,1.72,1.84,0.12331624609808788,1.72,1.84,0.12331624609808788,1.72,1.84,0.12331624609808788,1.74,1.84,0.10085785251918171,1.72,1.84,0.12331624609808788,1.72,1.84,0.12331624609808788,1.7,1.84,0.14202898550724652,1.68,1.84,0.16032753360788327,1.72,1.84,0.12331624609808788,1.72,1.84,0.12331624609808788,1.7,1.84,0.14202898550724652,1.7,1.82,0.1200735369285646,1.7,1.84,0.14202898550724652,1.72,1.84,0.12331624609808788,1.72,1.84,0.12331624609808788,1.7,1.84,0.14202898550724652,1.72,1.84,0.12331624609808788
Demarque_7,4.5,0.52,-2.227090250978953,4.34,2.06,-1.2312674451497274,4.16,2.18,-1.0597457682140508,4.02,2.16,-1.0265980892875335,4.06,2.14,-1.0545799633742101,4.04,2.18,-0.993777318406142,3.98,2.14,-1.0230602943769245,4.0,2.16,-1.0108258547337305,4.0,2.1,-1.0473739771743498,4.0,2.14,-1.0325206959112556,4.0,2.14,-1.0325206959112556,4.02,2.14,-1.0387675419604374,3.96,2.14,-1.0010416258106074,4.02,2.14,-1.0387675419604374,4.02,2.12,-1.051030427590099,4.02,2.12,-1.0445276711897498,4.02,2.14,-1.0387675419604374,4.02,2.14,-1.0387675419604374,4.0,2.14,-1.0325206959112556,4.02,2.14,-1.0387675419604374,4.0,2.14,-1.0325206959112556,4.0,2.14,-1.0325206959112556,4.02,2.14,-1.0387675419604374,4.0,2.14,-1.0325206959112556,4.0,2.14,-1.0325206959112556,4.0,2.14,-1.0325206959112556,4.0,2.16,-1.0139532239247466,4.02,2.14,-1.0355465495798577,4.0,2.16,-1.0016145649982544,4.02,2.14,-1.0355465495798577
Demarque_8,4.06,0.9,-1.9732703710706283,3.68,2.26,-0.8055782530822694,3.6,2.18,-0.8380207449249606,3.6,2.24,-0.7863741345415567,3.62,2.24,-0.8037451278419017,3.6,2.24,-0.8176570172966743,3.62,2.2,-0.8434335948716818,3.62,2.2,-0.8374257287004635,3.62,2.2,-0.8344695427988398,3.62,2.18,-0.847148562259092,3.62,2.18,-0.847148562259092,3.6,2.18,-0.8380207449249606,3.6,2.18,-0.8380207449249606,3.62,2.18,-0.847148562259092,3.6,2.18,-0.8380207449249606,3.6,2.18,-0.8380207449249606,3.62,2.18,-0.847148562259092,3.6,2.18,-0.8380207449249606,3.6,2.18,-0.8380207449249606,3.6,2.18,-0.8380207449249606,3.6,2.18,-0.8380207449249606,3.6,2.18,-0.8380207449249606,3.6,2.18,-0.8380207449249606,3.6,2.18,-0.8380207449249606,3.6,2.18,-0.8380207449249606,3.6,2.2,-0.8223977311307552,3.62,2.2,-0.8404135565476218,3.6,2.18,-0.8380207449249606,3.6,2.2,-0.8223977311307552,3.6,2.18,-0.8380207449249606
Dickerson_1,364.8,350.4,0.1291543691240442,310.4,300.2,0.11566336731226255,301.9,288.0,0.160264301445763,290.4,279.8,0.12055959666991485,284.9,279.9,0.05455450569464084,282.4,278.4,0.04304168915627537,276.4,278.8,-0.025118309942039573,279.26,278.44,0.008567622537222281,278.2,278.34,-0.0014919905360537716,279.3,276.86,0.025372759794366918,278.52,277.02,0.015605716089900048,276.82,276.92,-0.0010325466202325232,277.6,276.36,0.012788391318422528,276.0,276.04,-0.0004105324895006872,277.46,275.94,0.01551006203184615,276.1,276.1,-0.0,276.44,275.88,0.00566638017052844,274.38,276.08,-0.017162093889427906,275.42,275.84,-0.004240431637350675,275.66,276.2,-0.005440073237009118,275.5,276.22,-0.007244075015294288,275.98,276.3,-0.003229061386231795,274.42,276.28,-0.01861883487866957,275.08,276.32,-0.012465575025733845,276.16,276.68,-0.005221829180145706,277.26,276.26,0.010010694478288366,276.26,276.44,-0.0018139056734060442,274.7,276.68,-0.019875064867010395,275.04,276.74,-0.017064921963830047,275.48,275.4,0.0008186073903822088
Dickerson_2,268.7,275.7,-0.2276105006568856,275.84,270.8,0.22192032750713309,272.82,272.0,0.03518977318451497,273.7,272.16,0.06292954473811128,271.62,272.46,-0.03163526869679071,271.02,274.2,-0.11481628671977262,271.34,273.56,-0.07614923878357407,270.3,273.96,-0.12589534668084343,270.12,274.32,-0.14271663053798253,268.46,274.38,-0.19543452282260468,268.98,273.64,-0.15020579860193034,268.58,273.46,-0.15151680280856045,267.64,274.2,-0.2119603259348025,267.7,274.54,-0.22208484989155547,267.52,273.86,-0.19975949030183648,266.78,274.38,-0.24015628480905107,267.1,274.24,-0.2232567209896001,266.28,274.3,-0.24975224768927687,266.62,274.0,-0.22689147446521404,266.24,274.2,-0.24439405133738662,267.68,275.22,-0.2500951944070887,266.34,275.02,-0.27207791538211223,266.34,275.12,-0.2735089819217078,265.94,274.8,-0.27580408928138733,265.98,274.82,-0.2775887814085581,265.76,274.74,-0.2781296949568251,265.48,275.14,-0.29635029105531613,265.54,274.76,-0.280680944479324,265.4,274.46,-0.2758141944362116,265.48,274.82,-0.2837599577272256
Everett_1,0.4,0.6,0.4027158415806615,0.52,0.46,-0.12009625438764804,0.52,0.46,-0.12009625438764804,0.54,0.44,-0.20037546242844706,0.54,0.46,-0.1601711600673179,0.54,0.42,-0.24077623298556983,0.54,0.46,-0.1601711600673179,0.54,0.44,-0.20037546242844706,0.54,0.46,-0.1601711600673179,0.54,0.42,-0.24077623298556983,0.54,0.46,-0.1601711600673179,0.54,0.46,-0.1601711600673179,0.54,0.46,-0.1601711600673179,0.54,0.46,-0.1601711600673179,0.54,0.44,-0.20037546242844706,0.54,0.44,-0.20037546242844706,0.54,0.42,-0.24077623298556983,0.54,0.44,-0.20037546242844706,0.54,0.44,-0.20037546242844706,0.54,0.44,-0.20037546242844706,0.54,0.44,-0.20037546242844706,0.54,0.44,-0.20037546242844706,0.54,0.4,-0.2814435008239897,0.54,0.4,-0.2814435008239897,0.54,0.42,-0.24077623298556983,0.54,0.42,-0.24077623298556983,0.52,0.42,-0.20070132730589996,0.54,0.42,-0.24077623298556983,0.54,0.42,-0.24077623298556983,0.54,0.42,-0.24077623298556983
Gong_1,0.88,0.96,0.304767370198681,0.78,0.88,0.2689273150144915,0.88,0.94,0.21254908543844708,0.82,0.94,0.38136393482744513,0.84,0.88,0.11555048035563331,0.82,0.96,0.4735822195876791,0.8,0.92,0.35378211357851574,0.76,0.94,0.529011249758057,0.82,0.92,0.3027849567452443,0.78,0.88,0.2689273150144915,0.82,0.94,0.38136393482744513,0.8,0.98,0.6435011087932851,0.8,0.92,0.35378211357851574,0.76,0.92,0.4504322716758562,0.8,0.92,0.35378211357851574,0.76,0.92,0.4504322716758562,0.78,0.9,0.3329094180005501,0.84,0.92,0.24952058771187957,0.78,0.9,0.3329094180005501,0.8,0.94,0.43236109166071657,0.84,0.94,0.3280995657940804,0.78,0.94,0.4814764004529386,0.76,0.94,0.529011249758057,0.82,0.96,0.4735822195876791,0.76,0.92,0.4504322716758562,0.76,0.94,0.529011249758057,0.78,0.94,0.4814764004529386,0.76,0.94,0.529011249758057,0.76,0.94,0.529011249758057,0.78,0.92,0.4028974223707378
Handgraaf_1,15.76,15.92,0.0157552821360271,13.4,14.66,0.15131494419751162,12.52,13.22,0.08842791957186523,11.68,12.12,0.05499053178221816,11.32,11.12,-0.0248888200606423,11.1,10.42,-0.08250743967332257,11.1,9.78,-0.1567556897449645,11.04,9.3,-0.20418860418759788,10.96,9.0,-0.23011066746020112,10.9,8.66,-0.2629503368336515,10.72,8.38,-0.2801768933288666,10.62,7.96,-0.3205180111744218,10.56,7.86,-0.32541883770667673,10.6,7.72,-0.34737767765828304,10.56,7.54,-0.3665936987395635,10.54,7.42,-0.3809192882387866,10.5,7.66,-0.3499663743663426,10.54,7.42,-0.38812945601097754,10.8,7.34,-0.43108575772216867,10.44,7.26,-0.3919178083500123,10.52,7.16,-0.41743879821496016,10.38,7.18,-0.4043044673351461,10.46,7.2,-0.41090712287008274,10.42,7.08,-0.4257296308312808,10.62,7.1,-0.44268028820702676,10.56,7.48,-0.3810472100971988,10.56,7.2,-0.4257294259729207,10.86,7.9,-0.3673008396339425,10.6,7.3,-0.4191521609579546,10.56,7.24,-0.42270478488931873
Hershfield_1,12.9,13.7,0.0864356046903669,12.2,13.52,0.1310903393417709,12.86,12.88,0.001853264544035738,12.56,13.2,0.059125957764925303,12.92,13.12,0.017970174457629193,13.22,13.78,0.047622569942450836,12.98,13.5,0.0447722783814607,12.96,13.72,0.06502326581387526,12.92,13.34,0.03661451948359602,12.9,13.52,0.05358232948629048,12.78,13.36,0.05007368259848753,12.96,13.28,0.02711618006967278,12.86,13.4,0.0465391266017126,12.88,13.42,0.046057404971150295,12.8,13.48,0.057595555410104575,13.0,13.48,0.040856567556469804,13.1,13.5,0.033936277803507185,12.94,13.5,0.04737126395839437,12.9,13.5,0.05052728698302212,13.04,13.42,0.032048076469667945,12.96,13.46,0.04191640814100688,12.86,13.3,0.03761342708483093,12.88,13.26,0.03246450289689496,13.18,13.32,0.011785752188773452,12.94,13.24,0.02540286853982235,13.14,13.34,0.016870384307092354,13.02,13.32,0.025213645282965016,12.82,13.24,0.035694097758682077,13.0,13.34,0.028708870561248608,13.02,13.34,0.026991674242823296
